2021-10-21 16:16:27.138 [main-48] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - testCase_searchMethod,[{search_name.new=com.wechat.pageobject.CeshirenPOCodeSearchPage}, {search_name.get_first_title=[{get=https://ceshiren.com}, {find=[id, search-button]}, {click=null}, {find=[id, search-term]}, {sendkeys=内推 BAT}, {find=[css, .topic-title]}, {getText=[css, .topic-title]}]}, {asserts=[{actual=getText}, {matcher=contains}, {expect=内推 BAT}, {reason=搜索成功！}]}]
2021-10-21 16:16:27.139 [main-52] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - $$$$[{actual=getText}, {matcher=contains}, {expect=内推 BAT}, {reason=搜索成功！}]
2021-10-21 16:16:30.262 [main-146] INFO  com.framework.basedriver.BaseDriver.closeBrowser - chrome浏览器已成功关闭！
2021-10-21 16:48:54.519 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:48:54.524 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:48:54.525 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:48:54.525 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:48:54.526 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:48:54.527 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:48:54.527 [main-42] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - browserName=chrome
2021-10-21 16:48:54.528 [main-43] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - terminal=pc
2021-10-21 16:48:54.528 [main-44] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - deviceName=desktop
2021-10-21 16:48:54.528 [main-45] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - remotePort=4444
2021-10-21 16:48:54.529 [main-46] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - remoteIP=
2021-10-21 16:48:54.529 [main-47] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - browserVersion=
2021-10-21 16:48:54.536 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
